Gemeentecode,GemeentecodeGM,Gemeentenaam,GeoGemeentenaam,Provinciecode,ProvinciecodePV,Provincienaam,"asylum_migrants","avg_household_income","avg_woz","avg_ww_ratio","flag_color1","flag_color2","flag_color3","flag_color4",latitude,longitude,murders,population,province,"shield_crown","shield_symbol_1","shield_symbol_2","shield_symbol_3","shieldholder_1","shieldholder_2","surface_km2","surface_land_km2","surface_water_km2",university,year
0263,GM0263,Maasdriel,Maasdriel,25,PV25,Gelderland,NA,NA,NA,NA,blue,red,white,yellow,"51.768907","5.323304",NA,24197,Gelderland,crown,church,moon,parrot,NA,NA,"75.5",66,"9.4",0,2018
1641,GM1641,Maasgouw,Maasgouw,31,PV31,Limburg,NA,NA,NA,NA,blue,white,yellow,NA,"51.167805","5.88414",NA,23888,Limburg,crown,sword,staff,NA,NA,NA,58,"45.8","12.2",0,2018
0556,GM0556,Maassluis,Maassluis,28,PV28,"Zuid-Holland",NA,NA,NA,NA,blue,white,NA,NA,"51.922607","4.254566",NA,32097,"Zuid-Holland",sword,lable,wave,NA,NA,NA,"10.1","8.5","1.6",0,2018
0935,GM0935,Maastricht,Maastricht,31,PV31,Limburg,NA,NA,NA,NA,red,white,NA,NA,"50.851368","5.690973",NA,122331,Limburg,angel,star,NA,NA,NA,NA,60,"56.8","3.2",1,2018
0420,GM0420,Medemblik,Medemblik,27,PV27,"Noord-Holland",NA,NA,NA,NA,yellow,black,blue,NA,"52.767447","5.106918",NA,43331,"Noord-Holland",crown,NA,NA,NA,lion,lion,"257.6","121.8","135.8",0,2018
0938,GM0938,Meerssen,Meerssen,31,PV31,Limburg,NA,NA,NA,NA,yellow,blue,black,NA,"50.884943","5.752637",NA,19259,Limburg,NA,eagle,lily,NA,NA,NA,"27.6","27.1","0.5",0,2018
1948,GM1948,Meierijstad,Meierijstad,30,PV30,"Noord-Brabant",NA,NA,NA,NA,NA,NA,NA,NA,"51.613704","5.548213",NA,NA,"Noord-Brabant",crown,cross,moon,stronghold,NA,NA,"185.5","184.1","1.4",0,2018
0119,GM0119,Meppel,Meppel,22,PV22,Drenthe,NA,NA,NA,NA,white,green,red,black,"52.692123","6.193719",NA,32875,Drenthe,crown,trefoil,NA,NA,NA,NA,57,"55.7","1.3",0,2018
0687,GM0687,Middelburg,Middelburg,29,PV29,Zeeland,NA,NA,NA,NA,red,yellow,NA,NA,"51.498796","3.610998",NA,47660,Zeeland,eagle,tower,NA,NA,NA,NA,53,"48.5","4.5",0,2018
1842,GM1842,"Midden-Delfland","Midden-Delfland",28,PV28,"Zuid-Holland",NA,NA,NA,NA,blue,green,white,yellow,"51.954201","4.28831",NA,18449,"Zuid-Holland",NA,NA,NA,NA,NA,NA,"49.4","47.4",2,0,2018
1731,GM1731,"Midden-Drenthe","Midden-Drenthe",22,PV22,Drenthe,NA,NA,NA,NA,green,yellow,NA,NA,"52.861104","6.512304",NA,33368,Drenthe,crown,lily,cross,eagle,horse,horse,"345.9",341,"4.9",0,2018
1952,GM1952,"Midden-Groningen","Midden-Groningen",20,PV20,Groningen,NA,NA,NA,NA,purple,white,NA,NA,"53.214825","6.503424",NA,NA,Groningen,crown,"sea dragon",wheel,bush,NA,NA,NA,NA,NA,0,2018
0815,GM0815,"Mill en Sint Hubert","Mill en Sint Hubert",30,PV30,"Noord-Brabant",NA,NA,NA,NA,yellow,black,blue,NA,"51.679806","5.755381",NA,10843,"Noord-Brabant",NA,"saint willibrord",NA,NA,NA,NA,"53.2","52.3","0.9",0,2018
1709,GM1709,Moerdijk,Moerdijk,30,PV30,"Noord-Brabant",NA,NA,NA,NA,black,yellow,white,green,"51.660156","4.513072",NA,36775,"Noord-Brabant",crown,cross,diamond,NA,NA,NA,184,"159.2","24.8",0,2018
1978,GM1978,Molenlanden,Molenlanden,28,PV28,"Zuid-Holland",NA,NA,NA,NA,red,white,blue,NA,"51.865735","4.924345",NA,14423,"Zuid-Holland",crown,wave,NA,NA,NA,NA,"65.1","63.6","1.5",0,2018
1955,GM1955,Montferland,Montferland,25,PV25,Gelderland,NA,NA,NA,NA,white,green,blue,black,"51.919617","6.246311",NA,34985,Gelderland,crown,lion,NA,NA,NA,NA,"106.6","105.7",1,0,2018
0335,GM0335,Montfoort,Montfoort,26,PV26,Utrecht,NA,NA,NA,NA,grey,black,red,NA,"52.036213","4.951859",NA,13639,Utrecht,crown,stronghold,millrind,NA,lion,lion,"38.2","37.7","0.5",0,2018
0944,GM0944,"Mook en Middelaar","Mook en Middelaar",31,PV31,Limburg,NA,NA,NA,NA,red,blue,yellow,white,"51.75123","5.88163",NA,7783,Limburg,crown,"saint lambert","saint antony",lion,NA,NA,"18.8","17.4","1.4",0,2018
1740,GM1740,"Neder-Betuwe","Neder-Betuwe",25,PV25,Gelderland,NA,NA,NA,NA,blue,white,yellow,red,"51.930937","5.574103",NA,22591,Gelderland,crown,lion,wolf,NA,NA,NA,"68.2","60.6","7.5",0,2018
0946,GM0946,Nederweert,Nederweert,31,PV31,Limburg,NA,NA,NA,NA,blue,green,white,NA,"51.286563","5.752701",NA,16773,Limburg,crown,wave,NA,NA,NA,NA,"101.8","100.2","1.6",0,2018
0356,GM0356,Nieuwegein,Nieuwegein,26,PV26,Utrecht,NA,NA,NA,NA,red,blue,white,NA,"52.024821","5.091819",NA,61017,Utrecht,NA,tower,wave,NA,NA,NA,"25.7","23.7",2,0,2018
0569,GM0569,Nieuwkoop,Nieuwkoop,28,PV28,"Zuid-Holland",NA,NA,NA,NA,red,yellow,black,NA,"52.150056","4.777359",NA,27114,"Zuid-Holland",crown,wheel,eagle,fox,NA,NA,"91.2","78.9","12.3",0,2018
0267,GM0267,Nijkerk,Nijkerk,25,PV25,Gelderland,NA,NA,NA,NA,blue,yellow,white,red,"52.222484","5.483563",NA,40600,Gelderland,crown,lion,lily,cross,NA,NA,"72.1","69.5","2.6",0,2018
